stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8508461,LZSB,Seeburg,,47.045666,8.344722,435,,,0,,,,,,,
8508462,HRST,Hertenstein (See),,47.026890,8.403447,435,,,0,,,,,,,
8508463,WEG,Weggis,,47.031422,8.433223,435,,,0,,,,,,,
8508464,VTZ,Vitznau,,47.009359,8.482383,435,,,0,,,,,,,
8508465,ENNE,Ennetbürgen (See),,46.987780,8.421109,435,,,0,,,,,,,
8508466,BUO,Buochs (See),,46.975437,8.426430,435,,,0,,,,,,,
8508467,BECK,Beckenried (See),,46.967031,8.475673,435,,,0,,,,,,,
8508468,GESA,Gersau (See),,46.990611,8.526008,435,,,0,,,,,,,
8508469,TREI,Treib,,46.987395,8.585627,435,,,0,,,,,,,
8508470,BRUS,Brunnen (See),,46.993332,8.605266,439,,,0,,,,,,,
8508471,RULI,Rütli,,46.970549,8.593245,435,,,0,,,,,,,
8508472,,Sisikon (See),,46.948131,8.618853,446,,,0,,,,,,,
8508473,TELP,Tellsplatte,,46.934044,8.612568,435,,,0,,,,,,,
8508474,BAUE,Bauen (See),,46.935195,8.580613,435,,,0,,,,,,,
8508475,ISLI,Isleten-Isenthal,,46.919921,8.595755,435,,,0,,,,,,,
8508476,FLS,Flüelen (See),,46.903367,8.623922,436,,,0,,,,,,,
8508478,KABM,Kastanienbaum (See),,47.008082,8.341247,435,,,0,,,,,,,
8508479,LZTR,Tribschen,,47.042024,8.330738,435,,,0,,,,,,,
8508480,KEDO,Kehrsiten Dorf,,47.000357,8.365837,435,,,0,,,,,,,
8508481,,Hergiswil (See),,46.984475,8.312588,449,,,0,,,,,,,
8508483,,Stansstad (See),,46.980640,8.336185,438,,,0,,,,,,,
8508484,,Meggen (See),,47.044604,8.379393,472,,,0,,,,,,,
8508485,HRMG,Hermitage,,47.042523,8.349709,435,,,0,,,,,,,
8508486,,Merlischachen (See),,47.063883,8.407391,465,,,0,,,,,,,
8508487,GREP,Greppen,,47.056188,8.426838,435,,,0,,,,,,,
8508488,,Küssnacht am Rigi (See),,47.079915,8.438666,449,,,0,,,,,,,
8508489,KEBU,Kehrsiten-Bürgenstock,,47.003065,8.382321,435,,,0,,,,,,,
8508492,LZBQ,Luzern Bahnhofquai,,47.051169,8.310160,435,,,0,,,,,,,
8508503,,Alpnachstad (See),,46.955928,8.279423,436,,,0,,,,,,,
8508504,MEGH,Meggenhorn,,47.033743,8.354243,435,,,0,,,,,,,
8508505,LZSQ,Luzern Schweizerhofquai,,47.054638,8.316456,435,,,0,,,,,,,
